,Unnamed: 0,f1_scores,perc_withaddednoise,dataset
12,12,0.896,0.3,Lee_et_al_Science_Covidonly
13,13,0.91,0.3,Lee_et_al_Science_Covidonly
14,14,0.907,0.3,Lee_et_al_Science_Covidonly
15,15,0.904,0.3,Lee_et_al_Science_Covidonly
16,16,0.907,0.3,Lee_et_al_Science_Covidonly
17,17,0.907,0.3,Lee_et_al_Science_Covidonly
18,18,0.907,0.3,Lee_et_al_Science_Covidonly
19,19,0.899,0.3,Lee_et_al_Science_Covidonly
20,20,0.905,0.3,Lee_et_al_Science_Covidonly
21,21,0.894,0.3,Lee_et_al_Science_Covidonly
22,22,0.903,0.3,Lee_et_al_Science_Covidonly
23,23,0.9,0.3,Lee_et_al_Science_Covidonly
24,24,0.912,0.3,Lee_et_al_Science_Covidonly
25,25,0.91,0.3,Lee_et_al_Science_Covidonly
26,26,0.888,0.3,Lee_et_al_Science_Covidonly
27,27,0.911,0.3,Lee_et_al_Science_Covidonly
28,28,0.905,0.3,Lee_et_al_Science_Covidonly
29,29,0.91,0.3,Lee_et_al_Science_Covidonly
30,30,0.911,0.3,Lee_et_al_Science_Covidonly
31,31,0.9,0.3,Lee_et_al_Science_Covidonly
32,32,0.896,0.3,Lee_et_al_Science_Covidonly
33,33,0.906,0.3,Lee_et_al_Science_Covidonly
34,34,0.893,0.3,Lee_et_al_Science_Covidonly
35,35,0.906,0.3,Lee_et_al_Science_Covidonly
36,36,0.903,0.3,Lee_et_al_Science_Covidonly
37,37,0.911,0.3,Lee_et_al_Science_Covidonly
38,38,0.907,0.3,Lee_et_al_Science_Covidonly
39,39,0.9,0.3,Lee_et_al_Science_Covidonly
40,40,0.907,0.3,Lee_et_al_Science_Covidonly
41,41,0.9,0.3,Lee_et_al_Science_Covidonly
42,42,0.902,0.3,Lee_et_al_Science_Covidonly
43,43,0.909,0.3,Lee_et_al_Science_Covidonly
44,44,0.892,0.3,Lee_et_al_Science_Covidonly
45,45,0.902,0.3,Lee_et_al_Science_Covidonly
46,46,0.912,0.3,Lee_et_al_Science_Covidonly
47,47,0.911,0.3,Lee_et_al_Science_Covidonly
48,48,0.903,0.3,Lee_et_al_Science_Covidonly
49,49,0.902,0.3,Lee_et_al_Science_Covidonly
